# qid	code (P218/P219/P220)	speakers (P1098)	dead	extinct	historical	constructed	fictional	dialect	dialectGroup	standard	langGroup	langFamily
Q6298648	lbo	28000										
Q1142333	tlb	27720										
Q30004	evn	27500										
Q33569	haw	27200										
Q3399642	agd	27000										
Q8836490	bdp	27000										
Q36570	tda	26900										
Q11732616		26000									1	1
Q523823	led	26000										
Q56733	lel	26000										
Q56800	gnd	26000										
Q33626	har	25810										
Q33947	se	25700										
Q12473441	mhp	25000										
Q2411063	pip	25000										
Q2479725	lmy	25000										
Q3332062	aol	25000										
Q33942		25000									1	1
Q3438350	cfa	25000										
Q3441595	gah	25000										
Q36699	pis	25000										
Q56463	smi	25000									1	1
Q585704		25000						1				
Q3447440	bwc	24800										
Q4286473	mql	24500										
Q2605045	bsh	24200										
Q36452	yrk	24000									1	
Q5288055	doe	24000										
Q7500203	sle	24000										
Q8053347	yey	24000										
Q34208	wbl	23681										
Q34914	bff	23500										
Q2669193	guh	23006										
Q11732489	xma	23000										
Q3450578	bld	23000										
Q36853	tkr	23000										
Q56235	anm	23000										
Q56272	bcw	23000										
Q152965	sli	22900						1				
Q680517	wae	22780										
Q1845148	dhm	22000										
Q6694075		22000									1	1
Q2820163	abx	21400										
Q3322112	csg	21000										
Q3402113		21000									1	1
Q8046690	ygr	21000										
Q2744745	gum	20782										
Q33875	oj	20470										
Q12179298		20000									1	1
Q2784033	dun	20000										
Q3195555		20000						1				
Q33796		20000						1				
Q34849	ani	20000										
Q3503403	szn	20000										
Q35110	bvb	20000										
Q3512690	mky	20000										
Q35519	quf	20000										
Q35679	kfc	20000										
Q35719		20000						1				
Q3914879	kcq	20000										
Q3915785	nuo	20000										
Q4113624		20000						1				
Q4400023		20000						1				
Q530384	dak	20000										
Q56586	oua	20000										
Q56811	kna	20000										
Q6488691	lrt	20000						1				
Q716686	trv	20000										
Q7599417	hca	20000										
Q8765	an	20000										
Q35123	dox	19020										
Q3304803	mek	19000										
Q35357		19000						1				
Q10576453	mju	18964										
Q7692927	maa	18900										
Q56681	xom	18530										
Q56724	mpe	18500										
Q56893	kie	18500										
Q3501751	mfh	18000										
Q35299	dow	18000										
Q4170719	snc	18000										
Q5160	alu	18000										
Q36745	rar	17500										
Q56994	bwe	17200										
Q3327367	alp	17000										
Q33776	pau	17000										
Q21117	esu	16900										
Q3915212	kcu	16400										
Q8048928	guu	16200										
Q1365342	yec	16000										
Q32904		16000										
Q3314742	ter	16000										
Q33873	srh	16000										
Q8054343	yog	16000										
Q3039319	dhv	15949										
Q34075	swb	15200						1				
Q11732670	tby	15000										
Q13330	mwl	15000										
Q2393095	ood	15000										
Q3052039	cto	15000										
Q33225	fse	15000										
Q34067	sva	15000										
Q3514481	yli	15000										
Q35568	ldm	15000										
Q35880	qvs	15000										
Q36763	pmt	15000										
Q3695193	xkz	15000										
Q56381	klr	15000										
Q7987643	mbb	15000										
Q35833	lbj	14952										
Q36375	pug	14300										
Q56406	duu	14225										
Q1526525	cbt	14000										
Q1544537		14000									1	1
Q34862	bgj	14000										
Q4748974	uhn	14000										
Q7336938	riu	14000										
Q2070591		13900						1				
Q3382207	pid	13770										
Q28060	apw	13445										
Q13248	hsb	13300										
Q2597566		13200										
Q16395871		13154						1				
Q3196527	kzg	13100										
Q56747	gha	13100										
Q11732219	ghs	13000										
Q33255		13000									1	1
Q34055	tvl	13000										
Q3450493	wap	13000										
Q3507506	csq	13000										
Q36964	qux	13000										
Q3915502	kht	13000										
Q3915595	yul	13000										
Q3915466	sqs	12800										
Q3501553	ssn	12600										
Q34017		12549						1				
Q7502	abm	12500										
Q34033	ddo	12467										
Q12175	gv	12350										
Q33388	chr	12300										
Q2603103	kwi	12055										
Q18642798	mbf	12000										
Q2669261	aut	12000										
Q27927	aib	12000						1				
Q3033575	mqs	12000										
Q34247	yai	12000										
Q3441324	bbt	12000										
Q3447258	szw	12000										
Q3542085	lcm	12000										
Q3574028		12000						1				
Q4783889	atq	12000										
Q4914533	bne	12000										
Q24265554		11922						1				
Q6558753	lcl	11900										
Q34196	wbk	11500										
Q4763995		11500						1				
Q56301	dbp	11400										
Q27692	chp	11325										
Q13351	moe	11000										
Q300402	fax	11000										
Q3438747	kuh	11000										
Q33390	cr	10875										
Q6393217	kuk	10600										
Q7144242	ptn	10600										
Q49232	dru	10500										
Q56494	ojs	10500										
Q35091	agu	10100										
Q11003439	deq	10000										
Q1185127	lou	10000										
Q164854		10000						1		1		
Q19841092	scp	10000										
Q2093214	rmf	10000						1				
Q2196866	ple	10000										
Q2449549	phl	10000										
Q2591329	cbi	10000										
Q28224	frr	10000										
Q2840988	ryn	10000										
Q2984540	lur	10000						1				
Q3135426	sea	10000										
Q32983	peh	10000										
Q33426	huy	10000										
Q33790	niu	10000										
Q3474222	ojw	10000										
Q3502264	kot	10000										
Q35452	bi	10000										
Q3572020	yva	10000										
Q35861	kry	10000										
Q427614	lms	10000						1				
Q4448432		10000						1				
Q4923846	beu	10000										
Q5397551	mcq	10000										
Q56611	car	10000										
Q56992	tnf	10000						1				
Q6441341	kvb	10000										
Q713643	kth	10000										
Q7572120	ssq	10000										
Q7908480	vgr	10000										
Q85132032		10000						1				
Q35586	kxb	9920										
Q3450481	cjo	9881										
Q7494785	sdp	9663										
Q10188	zun	9650										
Q3113762		9650									1	1
Q36962	xav	9600										
Q56633	mbc	9600										
Q33563	kca	9584									1	1
Q12952582	kvt	9550										
Q33894	gwt	9500										
Q13307	na	9300										
Q14352960	kxk	9300										
Q386288		9230									1	1
Q32979	cho	9200										
Q6794475	mav	9200										
Q10134	tlh	9000				1	1					
Q12107580		9000						1				
Q2567942	bfw	9000										
Q3027879	lbc	9000										
Q35463	aaa	9000										
Q36432	saf	9000										
Q36754	rtm	9000										
Q7928151	vid	9000										
Q63213931	hkk	8770										
Q3338052	nen	8700										
Q1965222	mlw	8500										
Q716690	pyu	8500										
Q56742	nfl	8400										
Q13321	mic	8270										
Q3507211	tjo	8100										
Q1068097	opm	8000										
Q126708732		8000						1				
Q1526037	hub	8000										
Q32689	prn	8000										
Q33464	kos	8000										
Q34333	yrl	8000										
Q3441315	pqa	8000										
Q36558	swl	8000										
Q36867	udi	8000										
Q56640		8000						1				
Q63257089	kkf	8000										
Q6359001	kgq	8000										
Q3515594	txn	7910										
Q2669188	app	7800										
Q36648	tcs	7800										
Q3063761	tnp	7500										
Q33416	kls	7500										
Q3441447	yup	7500										
Q36013	muz	7500										
Q7179700	xtm	7400										
Q3073568	aau	7270										
Q56883	arv	7210										
Q56286	dwa	7200										
Q3101212	txu	7100										
Q2877785	baa	7070										
Q33030	bsg	7030										
Q5529130	gzi	7030										
Q148971	isv	7000				1						
Q29960	eve	7000										
Q35138	quk	7000										
Q3775037	gnw	7000										
Q53493410		7000						1				
Q56422		7000						1				
Q6763970	mrz	7000										
Q746723	myu	7000										
Q56421	hop	6780										
Q36860	tin	6693										
Q15649021	kee	6680										
Q13286	dsb	6670										
Q3450812	byr	6600										
Q3913381	ruy	6600										
Q3342992	not	6500										
Q3382208	pio	6400										
Q3006705	cub	6300										
Q3915441	mcb	6200										
Q6965295	nac	6200										
Q62664215	ebk	6170										
Q56590	atj	6160										
Q34179	ydg	6150										
Q126708730		6000						1				
Q14916885	lwt	6000										
Q2603808	mrq	6000						1				
Q3082027	mch	6000										
Q33054	kap	6000										
Q33781		6000										
Q3446631	bsj	6000										
Q3446643	awo	6000										
Q35288	fpe	6000										
Q3877551	xka	6000										
Q56636	kpt	6000										
Q7812881	tdr	6000										
Q7960056	wca	6000										
Q962392	des	6000										
Q133980120		5819						1				
Q28427	cal	5700										
Q3182567	yad	5700										
Q34992	fab	5600										
Q56528	vaj	5600										
Q27183	ik	5580										
Q33256		5500										
Q7828400	mto	5500										
Q56615	bsw	5480										
Q11001779	dov	5430										
Q2828867	aji	5400										
Q12637318		5316									1	1
Q35950	cas	5300										
Q34029	yap	5130										
Q33170	ckt	5100										
Q10196		5087						1				
Q11137618	gyg	5000										
Q11173166	bdc	5000										
Q112913603		5000										
Q12473454	nea	5000										
Q129648	jje	5000										
Q13358	ruq	5000										
Q2031144	urk	5000										
Q3062751	wyy	5000										
Q3135432	pib	5000										
Q33060	bla	5000										
Q3440492	piy	5000										
Q35263	dae	5000										
Q36746	rap	5000										
Q36753	kdx	5000										
Q36942	yle	5000										
Q56558	xug	5000										
Q56844	nmy	5000										
Q6907057	gwg	5000										
Q7311570	reb	5000										
Q942602	lnc	5000						1				
Q3048461		4870									1	1
Q32878	dlg	4836										
Q7404262	sau	4800										
Q716695	xsy	4750										
Q34224	ybe	4600										
Q1767941		4537										
Q23807993	ukk	4500										
Q3041711	duq	4500										
Q6927540		4500									1	1
Q3502030	baj	4450										
Q12952760	sks	4400										
Q3327399	amn	4400										
Q56473	trg	4378						1				
Q13203	roo	4320										
Q3291159	kbt	4300										
Q523014	mus	4300										
Q626772		4300									1	1
Q2967709	scb	4279										
Q13229	nmn	4200										
Q5211943	idb	4180										
Q25559440	jih	4100										
Q1012917	wuh	4000										
Q1135134	paq	4000										
Q12473464	ror	4000										
Q2614111	xhe	4000						1				
Q2748259	plg	4000										
Q2842667	kbh	4000										
Q2882543	kpc	4000										
Q2982063	pjt	4000										
Q29902	yuy	4000										
Q3194294	pss	4000										
Q3327405	cpc	4000										
Q7402721	ckh	4000										
Q12953175	tge	3980										
Q2475442	cul	3900										
Q3504186	bbz	3900										
Q56317	byh	3900										
Q3055682	sja	3802										
Q34133	huq	3800										
Q3438729	sir	3800										
Q715760	tao	3800										
Q12952969	kte	3776						1				
Q33639	mnj	3770										
Q3517319		3700			1			1				
Q13339	moh	3500										
Q1982696	dba	3500										
Q2089984	sui	3500										
Q3305008	mxe	3500										
Q3450252	nhg	3500										
Q36199	kpy	3500										
Q56610	pbh	3500										
Q7399757	saj	3500										
Q33259	bbl	3420										
Q6444265	shd	3371										
Q36682	tkp	3324										
Q34097	tkl	3300										
Q34186	yah	3300										
Q6382179	hul	3240										
Q3398785	kxa	3200										
Q4849796	bls	3200										
Q36846	tok	3100				1						
Q1207611	cro	3000										
Q3027906	moc	3000										
Q3027918	pui	3000										
Q3095245	pwg	3000										
Q33918	lud	3000										
Q3398276	adn	3000										
Q3436621	abp	3000										
Q3436645	ahh	3000										
Q3438816	scw	3000										
Q36533	tfr	3000										
Q3912876	tow	3000										
Q4709168	sqk	3000										
Q5390255		3000									1	1
Q56398	auj	3000										
Q56657	kgr	3000										
Q6966574	nsy	3000										
Q7959375	wrx	3000										
Q33503	mte	2940										
Q2640935	huu	2900										
Q2980421	cui	2900										
Q3095108	gzn	2900										
Q56430		2874						1				
Q34139	cjs	2839										
Q7448845	sws	2839										
Q6881813	vmm	2800										
Q36665	pln	2788										
Q3915679	djr	2766										
Q11017443	mgn	2750										
Q6426967	kvv	2750										
Q3026110	yaa	2729										
Q2640646	yuz	2700										
Q3033554	bbh	2700										
Q3448149	mbq	2600										
Q3566001	gvc	2600										
Q36066	mue	2600										
Q4670715	aah	2560										
Q1639998	wbp	2507										
Q12953684	wpc	2500										
Q2017731		2500						1				
Q2655664	arw	2500										
Q32260	dlk	2500										
Q3440464	ktc	2500										
Q3508085	agv	2500										
Q7136862		2500									1	1
Q8050301	zav	2500										
Q3504147	bnd	2486										
Q28092	alq	2430										
Q18390055	klw	2400										
Q1844993	cax	2400										
Q2375468	boa	2400										
Q33265	chy	2400										
Q7398693	apz	2390										
Q2567055	cof	2300										
Q3441365	zrn	2240										
Q2669169	mcm	2200										
Q2981620	mcf	2200										
Q3028668	ddi	2200										
Q36837	uve	2200										
Q56634	ayo	2189										
Q3327423	alj	2150										
Q10974017	var	2136										
Q13272	den	2120										
Q3198924	coe	2100										
Q56885	tri	2100										
Q716681	tsu	2100										
Q1656014	tiw	2040										
Q13343	mdf	2025										
Q3913357	une	2023										
Q1256646		2000						1	1			
Q165795	fkv	2000										
Q220607	tsd	2000										
Q254950	ovd	2000										
Q3192950	kyj	2000										
Q33537	lkt	2000										
Q33904	nll	2000										
Q3436637	ceg	2000										
Q3438708	kil	2000										
Q3438799	tgd	2000										
Q35854	jbe	2000									1	
Q4508417		2000						1				
Q5286559	kvo	2000										
Q56252	jmb	2000										
Q56322	smj	2000										
Q6370196	kyd	2000										
Q6497414	lsl	2000										
Q7646993	sru	2000										
Q7706841	tez	2000										
Q3027909	pav	1930										
Q268130	mhn	1900						1				
Q2883843	bsn	1900										
Q16410220		1870						1				
Q3012604	mbp	1850										
Q7447500	slu	1823										
Q21481876	nkb	1800										
Q24952008		1800										
Q27993	ess	1800										
Q2840986	ams	1800										
Q3182551	tna	1800										
Q3327427	ali	1800										
Q3438356	ycn	1800										
Q3504312	pab	1800										
Q35235	cap	1800										
Q770547	lvk	1783										
Q1295107		1750										
Q56425	khv	1740										
Q20979	dgr	1735										
Q2523999	kmv	1726										
Q948514	hto	1705										
Q1406574	gup	1702										
Q2669254	con	1700										
Q3143384	jup	1700										
Q34037	woe	1700										
Q5908753	way	1700										
Q8047298	jal	1700										
Q3438373	knm	1650										
Q758570	auc	1650										
Q11732495	nib	1600										
Q4507276		1600						1				
Q18168288	kbc	1590										
Q6356317	irx	1570										
Q116849	cbn	1500										
Q1193712		1500						1				
Q12952538	syw	1500										
Q25562959		1500						1				
Q2562249		1500						1				
Q30334358		1500						1				
Q3130301	pnh	1500										
Q3196221	eso	1500										
Q3356620		1500						1				
Q3441097	slc	1500										
Q3514498	tlv	1500										
Q35934	ia	1500				1						
Q36162	jkr	1500										
Q56071779		1500						1				
Q56455	tee	1500										
Q56688	amp	1500										
Q7917585	vay	1500										
Q56638	kva	1450										
Q32986	bor	1400										
Q5138605	naz	1400										
Q6360672	xns	1400										
Q13303	gld	1390										
Q2410352	kei	1360										
Q2669214	amv	1347										
Q28070		1310						1				
Q3063517	pfa	1300										
Q3501268		1300									1	1
Q7418302	sny	1300										
Q2714654	aoi	1283										
Q32747	vep	1276										
Q20614	crx	1270										
Q33485	ket	1225										
Q1367309	orh	1200										
Q14916889	mqz	1200										
Q2475488		1200									1	1
Q2591230	cbs	1200										
Q29277	mwc	1200										
Q3477218	sey	1200										
Q3573266	yui	1200										
Q5166	kud	1200										
Q5359560	cbr	1200										
Q57333741	zsu	1160										
Q2976736	piv	1142										
Q1186896	nah	1135										
Q642843	cbu	1120										
Q3053275	jaa	1080										
Q4998124	bvr	1070										
Q33740	oru	1050										
Q56738	oia	1049										
Q3275059	myy	1032										
Q34008	sel	1023										
Q14916905	srw	1013										
Q14426329	kvy	1000										
Q2380124	psd	1000										
Q2669221	goe	1000										
Q27154	stq	1000						1				
Q2980375	guo	1000										
Q30304537		1000						1				
Q3182570	kxs	1000										
Q3260104	loj	1000										
Q3321131	air	1000										
Q33622	ruo	1000										
Q33811	shh	1000										
Q34081	trm	1000										
Q35121	abo	1000										
Q35278	kjj	1000										
Q3566166	wno	1000										
Q35845	ist	1000										
Q3775265	ktl	1000						1				
Q3914494	tak	1000										
Q3915522	kui	1000										
Q56392	tia	1000										
Q56417	arp	1000										
Q56564	huz	1000										
Q60069	wak	1000									1	1
Q34915	aqc	970										
Q718269	szy	958										
Q2591262	mwp	957										
Q56846	bkq	950										
Q33759	mns	938										
Q3107862	git	930										
Q32972	com	915										
Q3554582	mpr	910										
Q36583	sei	900										
Q56743	wut	900										
Q5876347	yau	900										
Q6668867	lcd	900										
Q245899		880						1				
Q28535	clc	860										
Q27792	tli	845										
Q12632888	ilu	842										
Q3346228	mbr	831										
Q25395221		800										
Q33411	hts	800										
Q33419	isk	800						1				
Q3450459	drn	800										
Q3516731	tkw	800										
Q3915520	vkp	800										
Q56512	anz	800										
Q7684320	twf	800										
Q33723	jct	785										
Q56543	kky	780										
Q27990		765							1			
Q3027930	xok	760										
Q915490		750						1				
Q33436	gdm	749										
Q3444486	rma	740										
Q56562	dny	740										
Q4246852		738						1				
Q13239	ulc	732										
Q13315	crg	730										
Q33676	neg	730										
Q2068190	nab	720										
Q2980381	ese	700										
Q3194265	knt	700										
Q36400	ngm	700										
Q3110470	goo	690										
Q21057	gwi	670										
Q1091095	gae	650										
Q2736980	apy	650										
Q3342138	ncg	610										
Q13281	sov	600										
Q13293	sma	600										
Q135296905		600						1				
Q25289	kw	600										
Q2591202	cao	600										
Q2640637	prc	600										
Q2879238	yha	600										
Q2992915	nce	600										
Q3192336	kay	600										
Q3327462	miw	600										
Q34207	kdd	600										
Q4073552		600						1				
Q56522	hix	600										
Q57333197	zsa	600										
Q6744946	mll	600										
Q7036821	nil	600	1									
Q7262966	pyy	600										
Q98113977		600						1				
Q3183144	pqm	590										
Q2520538	tue	570										
Q3307184	unk	570										
Q33395	gul	550										
Q3485116	snn	550										
Q867086	esy	550				1						
Q36554	pih	532										
Q3198399	kkk	530										
Q2822982	aca	514										
Q3273980	mbn	513										
Q2640628	kwk	500										
Q28181		500						1				
Q2883738	bao	500										
Q3178609	jic	500										
Q33656	sjd	500										
Q35128	amr	500										
Q3915557	cot	500										
Q56567	cji	500										
Q7692090	tsy	500										
Q85789135		500						1				
Q9344891	txi	500										
Q924405	cbc	482										
Q27992	ems	450										
Q36447	pkp	450										
Q63256977	jmw	450										
Q33443	jqr	448										
Q1755054	thp	440										
Q24190396	yro	430										
Q13271	sms	420										
Q136353553		400									1	
Q2524007	tav	400										
Q2664155		400						1				
Q3027953	srq	400										
Q32940		400									1	1
Q33797		400						1				
Q34243	yoi	400										
Q3450131	zem	400	1	1								
Q35143	dal	400										
Q3573115	yab	400										
Q3588942	eme	400										
Q36342	sbf	400										
Q37053	cim	400										
Q5328200	dmr	400										
Q56238	bxq	400										
Q56519	wam	400	1	1								
Q57000	bxd	400										
Q6940074	mmq	400										
Q33825	myp	389						1				
Q5621973	gvn	388										
Q3121073	yij	377										
Q6792550	mph	371										
Q2669225	ano	370										
Q3335011	mbj	370										
Q35162	cku	370										
Q28568		360										
Q3505859	suy	350										
Q3513326	auw	350										
Q36656	sjt	350										
Q7679471	kzd	350										
Q3095469		340						1				
Q3284890	wmd	340										
Q56807	aap	340										
Q6680287	lnn	340										
Q56467		335								1		
Q3299145	mpq	320										
Q3450522	wau	320										
Q2591184	kmq	319										
Q7022091	nay	312	1	1								
Q13197	btn	310										
Q2379405	nhv	310										
Q2669150	amc	310										
Q5268960	dhg	310										
Q2567934	ved	300										
Q28304	koy	300										
Q33462	smn	300										
Q36535	tnc	300										
Q36885	tsm	300										
Q36954	yee	300										
Q56648	bsa	300										
Q7842270	tip	300										
Q8063754	ctz	300										
Q389827	pad	290										
Q4308074	rmh	290										
Q4741706	aag	290										
Q35388	hur	285										
Q4023175	jur	280										
Q3450660	cbb	270										
Q6380124	ktx	270										
Q2618420		255									1	1
Q1440172	sac	250										
Q15342275	cox	250										
Q3111857	rey	250										
Q3192052	cbv	250										
Q33317	cod	250										
Q10510745	gnn	240										
Q3504087	bae	240	1	1								
Q7049771	nys	232										
Q3501838	mmh	230										
Q3532774		229						1				
Q11855245	cih	220										
Q2605703	mmp	220										
Q3485264	sri	220										
Q6416362	kis	220										
Q3063524	ngr	210										
Q35539	arr	210										
Q56423	akv	210										
Q56560	bph	210										
Q16334334	xjb	208										
Q20527402	bnh	207						1				
Q1145414	itk	200									1	
Q12952830	lnb	200										
Q13336	mhj	200										
Q146803	lfn	200				1						
Q17319895		200						1				
Q1764544	wrm	200										
Q27210	ale	200										
Q27867	afs	200						1				
Q2992892	ure	200	1	1								
Q3409307	tba	200										
Q3507928	aaf	200										
Q35397	bdk	200										
Q37005	zen	200										
Q510544	tno	200										
Q56428		200						1				
Q56443	rac	200										
Q56718	atw	200	1	1								
Q67331933		200						1				
Q36464	niv	198										
Q13316	mik	190										
Q3182577	oca	190										
Q6735599	mmm	180										
Q27864	bcr	175										
Q4830038	awe	170										
Q7878623	ukg	170										
Q1284877	gia	169										
Q20826	bea	160										
Q3111847	mep	156										
Q14916908	vis	150										
Q28086		150						1				
Q3027894	bmr	150										
Q3441762	cby	150	1	1								
Q35224	io	150				1						
Q3042278	kwa	142										
Q3114402	swx	140										
Q56395	yol	140	1	1				1				
Q56416	acy	140						1				
Q7689337	tbp	140										
Q56311	yug	134	1	1								
Q56515	gdo	130										
Q721182	kww	130										
Q3409301	irn	125										
Q36743	nio	125										
Q12294279	tpy	120										
Q33559	izh	120										
Q33627	ili	120										
Q5193784	cuo	112	1	1								
Q5223941	drl	110										
Q580923	bck	110										
Q36444	str	105										
Q13235	ude	103										
Q1185133	see	100										
Q13244	uln	100										
Q1815020	akz	100										
Q2567925	pby	100										
Q2669219	gni	100										
Q28281	tau	100										
Q3339226	nez	100										
Q33434	kut	100										
Q3446613	ans	100	1	1								
Q36520	pre	100										
Q56333	hux	100										
Q56415	sju	100										
Q732726	tae	100										
Q7878635	ukq	100										
Q8050347	ynu	95	1	1								
Q36848	kim	93										
Q6931573	dmw	92										
Q3441409	jru	91										
Q33303	hai	90										
Q3915412	kgs	90										
Q5699507	hei	90										
Q3052971	isc	82										
Q33624	itl	82										
Q958414	aro	81										
Q21058	aht	80										
Q33725	kdr	80										
Q27785	tfn	75										
Q33192	cic	75										
Q107548681	oak	70						1				
Q23855	auq	70										
Q3355834	ore	70										
Q56485	wym	70										
Q65056943	ehs	70										
Q716627	ckv	70										
Q534216		66						1				
Q32858	vot	62										
Q3446596	cuj	60										
Q5619801	gge	60										
Q6960662	nck	58										
Q32967	cay	55										
Q857858	one	55										
Q3200839	xwa	54										
Q3053283	yii	52										
Q1377116	avk	50				1						
Q1811224	aac	50										
Q2591221	arl	50										
Q27963	ynk	50										
Q3327384	amq	50										
Q3437607	teu	50										
Q35501	prg	50	1	1								
Q35785	mzs	50										
Q35850	ie	50				1						
Q4294095		50									1	1
Q4461794		50						1				
Q56314	sje	50										
Q56545	yux	50										
Q56804	brd	50										
Q6913275	mok	50										
Q7403694	sgu	50										
Q33928	oaa	47										
Q3193689	kju	45										
Q4975277	bpl	45										
Q33125	clw	44										
Q1077450	ono	40										
Q13583746	coo	40										
Q27782	ing	40										
Q28213	alr	40										
Q56319	ykg	40										
Q11732235	ibu	35										
Q13363	mez	35										
Q2669184	iqu	35										
Q28062	kuu	35										
Q36331	qvp	35										
Q56386	mrc	35										
Q56737	iow	33										
Q6443027	xpk	32										
Q10408315	amy	30						1				
Q10577443	zmt	30										
Q3913840	wrh	30	1	1								
Q68808509		30						1				
Q7129017	pmn	30										
Q8048030	jmd	30										
Q8050479	ywr	30										
Q967031	jeb	30										
Q3199022	xor	27										
Q17319799		26						1				
Q12953952	uma	25										
Q18650060	zma	25						1				
Q35783		25				1						
Q2591193	lrg	23	1	1								
Q10577273	zmd	20										
Q10577274	zmj	20										
Q10577501	zmy	20										
Q33638	mnc	20										
Q34198	was	20										
Q3571238	yar	20										
Q36738	nov	20				1						
Q36986	vo	20				1						
Q4817730	atc	20	1	1								
Q56631	kio	20										
Q6703368		20						1				
Q6773014	mfr	20										
Q28272	haa	19										
Q10577424	zmm	15										
Q117707514		15						1				
Q25559411	enh	15										
Q28565	taa	15										
Q6772792	zmr	15										
Q17502788	abe	14						1				
Q1288440	kyh	12										
Q2147917	alh	12										
Q2944443	csm	12										
Q36344	bxe	12										
Q36819		12				1						
Q56544	alc	12										
Q56946	mcg	12										
Q1977419	mud	11										
Q4261493	lio	11										
Q85746016		11										
Q10963262	ppr	10	1	1				1				
Q127627614		10						1				
Q12952505	huk	10	1	1								
Q2064378	pnk	10										
Q20968488		10						1				
Q27969	ain	10										
Q30249597	enf	10						1				
Q3397371	tpv	10						1				
Q3440512	xat	10										
Q3446655	cbd	10										
Q56539	ari	10										
Q56628	ats	10										
Q56751	paw	10										
Q61951665	yhs	10										
Q63259736	ltn	10										
Q6583617	scq	10										
Q7021846	nju	10										
Q716599	sxr	10										
Q14623791	idb	8										
Q28058	hup	8										
Q3450709	yaw	8										
Q35465	dbl	8										
Q3913770	gyd	8										
Q6310991	jus	8										
Q33630	kgg	7										
Q56429		7						1				
Q3111838	ncz	6	1	1								
Q4132581		6						1				
Q56438	chl	6										
Q8828608	btj	6						1				
Q8050525	xya	5.5	1	1								
Q33283	gin	5										
Q3450423	orw	5										
Q3507954	abg	5										
Q4356223	kxo	5	1	1								
Q5370356		5						1				
Q56609	atx	5										
Q56754	wnw	5										
Q7959489	wdj	5										
Q15338035	inp	4										
Q172244	xnb	4										
Q17319822		4						1				
Q2106984	tnx	4										
Q3027940	gta	4										
Q323325	zoq	4										
Q32915	crd	4										
Q56280	bdn	4										
Q7110494	oum	4	1	1								
Q10577823	zmg	3										
Q2618974	ngh	3										
Q33028	bdz	3										
Q3460478	sae	3										
Q7967859	wgg	3	1	1								
Q127686984		2						1				
Q2155119	ccc	2										
Q28064	tgx	2	1	1								
Q33663	omg	2										
Q5372139	noj	2										
Q5565906	giy	2	1	1								
Q6794377	mzx	2										
Q1957508	trr	1										
Q2484579	squ	1										
Q3029805	tit	1										
Q3396021	pej	1	1	1								
Q3450504	rgr	1										
Q3501747	pbg	1	1	1								
Q35173	chn	1										
Q5072718		1										
Q29572	ae	0	1		1							
Q33251	cu	0			1							
Q36727	pi	0			1							
Q2585922	os							1				
Q36157	lu											
